essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
11,5,"इस कहानी में लेखक जो मूड बनाता है वह एक @नाम1 उदास मनोदशा है, लेकिन यह @नाम2 भी है, @नाम3 इसमें मौजूद आदमी को एक नया घर और एक नया जीवन मिल रहा है @नाम3 उसके माता-पिता @नाम5 @नाम6।",1,1,2
12,5,"लेखक ने जो संस्मरण रचा है, वह मनोदशा का बहुत ही गर्म और सुकून देने वाला है। जिस तरह से लेखक आपको अपने माता-पिता के बारे में बताता है; निस्वार्थता और जिस तरह से उन्होंने अपने बच्चों को सबसे पहले रखा वह वास्तव में आपको सिर्फ अपने माता-पिता के बारे में सोचने के लिए बनाता है और वे आपके लिए कितने अच्छे हैं और वे आपके लिए क्या करेंगे। जिस तरह से लेखक अपने घर के बारे में बात करता है वह आपको घर के सभी रंगों के बारे में सोचता है। मुझे लगता है कि घर एक सुनहरा - लाल रंग पीला, सफेद, भूरा और नारंगी पर होगा। यह मुझे उस तरह की याद दिलाता है जिस तरह से उन्होंने पकाया होगा। वे रंगीन मिर्च, प्याज, टॉर्टिला और तेलों के साथ पकाया जाता। यह आपको यह सोचने पर मजबूर करता है कि आपके घर में कौन से रंग हैं और आप किन चीजों के साथ खाना बनाना चाहते हैं। संगीत अद्भुत लगता है। हालांकि वे यह प्रदर्शित नहीं करते हैं कि यह वास्तव में कैसा लगता है, आप आसानी से इसकी कल्पना कर सकते हैं। मैं कल्पना करता हूं कि यह पृष्ठभूमि में है, जबकि सभी वयस्क खाना बना रहे हैं और बच्चे एक खुली खिड़की के माध्यम से चमकते हुए सुनहरे धूप के साथ रंगीन कमरों में खेल रहे हैं। मैं उस मनोदशा से प्यार करता हूं जो इस संस्मरण ने मुझे अंदर ला दिया है।",1,1,2
13,5,"संस्मरण की मनोदशा बहुत उत्साहित है, खुश कैसे @व्यक्ति1। एक बहुत ही क्यूबाई परिवार में न्यू जर्सी, न्यू जर्सी में पली-बढ़ी, और बताती है कि बचपन में नार्सिसो कैसे गुजरती थी। यह संस्मरण वास्तव में उस कनेक्शन और प्रेम पर जोर देता है जो नार्सिसो ने अपने माता-पिता और अपने घर के साथ किया था। यह आपको लगता है कि एक घर में सिर्फ दीवारों और छत की तुलना में अधिक है और शायद यह एक परिवार का हिस्सा है।",1,1,2
14,5,"संस्मरण में लेखक द्वारा मनोदशा का वर्णन करें। संस्मरण में एथलीट द्वारा मूड। क्या वह एक कठिन समय बड़ा था क्योंकि उसके माता-पिता ने फिल्म देखी। बाईस साल की उम्र बे। नार्सिसो रोड्रिगेज अपने परिवार के साथ रह रही है वह एक एक खुबानी के कमरे में रहती है, जब वह बड़ी हो रही थी तो नस्लवाद थे वह बड़े हो रहे थे। जब वह बड़ी हो रही थी तो उसकी माँ और पिता ने उसे खाना बनाना सिखाया था, और जो नंबर एक चीज़ उसने सीखी वह थी कि किसी से प्यार कैसे किया जाए",1,0,1
15,5,"संस्मरण में लेखक द्वारा बनाया गया मूड खुश, सुखद और जीने लायक था। मैं खुश हूं क्योंकि उनके पास परिवार था और कुछ भी होने पर उनकी मदद करने के लिए अन्य दोस्त थे। मुझे सुखद लगता है क्योंकि लेखक इस बारे में बात करता है कि उनका (मुख्य चरित्र) पहला जन्मदिन और पहला दोस्त कैसे था। मैं अपने सभी जन्मदिनों का आनंद लूंगा अगर मैं वह व्यक्ति था और मेरा पहला दोस्त भी। मैंने जीने लायक भी कहा क्योंकि वे हर रोज अपनी मेज पर खाना खाते थे। और संस्मरण में संघर्ष के बारे में कुछ नहीं कहा। यही कारण है कि मैं मूड को खुश, सुखद और रहने लायक समझाता हूं।",2,1,3
16,5,"इस संस्मरण में लेखक द्वारा बनाई गई मनोदशा उनके दोस्तों, परिवार और उनके आस-पास के सभी लोगों के लिए बहुत प्यार और देखभाल करने वाली थी, उदाहरण के लिए यह कहता है कि कैसे उनकी माँ हमेशा उस दरवाजे को खुला रखेगी जो कभी भी किसी न किसी समय से गुजर रहा था या जब तक वे वापस नहीं आए थे अपने पैरों पर क्योंकि वह जानती थी कि वे उसके और उसके परिवार के लिए ऐसा ही करेंगे। साथ ही मूड बहुत आभारी है क्योंकि नार्सिसो ने जीवन में जो कुछ भी किया है उसकी प्रशंसा करता है और जिसने उसकी मदद की है और वह सभी दोस्तों के लिए आभारी है और उनके और उनके परिवार के लिए उनके पास देखभाल है और वह जीवन में मिलने वाली हर अपारदर्शिता का धन्यवाद करते हैं। मनोदशा यह भी दिखाती है कि किस तरह से छोटी चीज़ अंदर की तरफ बड़ी हो सकती है क्योंकि नार्सिसो ने ऐसा बहुत कुछ किया है जिस जगह पर वह रहता है।",2,2,4
17,5,"इस संस्मरण में लेखक एक मनोदशा बनाता है। मनोदशा प्रेम है। लेखक को अपने माता-पिता से उन सभी चीजों के लिए प्यार है जो उन्होंने @स्थान1 पर आने के लिए बलिदान किए थे। वह वास्तव में उसके लिए किए गए हर काम की सराहना करता है और वह वास्तव में आभारी है। लेखक ने अपनी रसोई की ""गर्मी"" का वर्णन किया है। यह प्रेम और संस्कृति से कैसे भरा है। उनके माता-पिता खाना पकाने और अपनी संस्कृति से संगीत की महान सुगंध, वह इसे प्यार करता है। लेखक यह भी वर्णन करता है कि उसका परिवार @नाम1 करीब कैसे है, और उनके दोस्तों को। वो प्यार जो उन्हें एक दूसरे के लिए मिला। संस्मरण कहता है, ""मेरे माता-पिता ने हमेशा अपनी बाहों और अपने दरवाजे को ऐसे कई लोगों के लिए खुला रखा जिन्हें हम परिवार मानते हैं, यह जानते हुए कि वे हमारे साथ भी ऐसा ही करेंगे।"" @नाम1 उन्होंने ऐसे लोगों पर विचार किया जो वास्तव में परिवार नहीं थे ... परिवार। उन्होंने एक-दूसरे की मदद की, परिवार और दोस्तों, यही वह प्यार बनने के मूड को बनाता है। @नाम1, इस संस्मरण में, लेखक एक मूड और उसका प्यार बनाता है।",4,3,7
18,5,"इस संस्मरण के लेखक ने परिवार के बारे में मूड बनाया। ""वे निस्वार्थ रूप से आए, जैसा कि कई आप्रवासी करते हैं, अपने बच्चों को बेहतर जीवन देने के लिए, भले ही इसका मतलब था कि उनके परिवार, दोस्तों और करियर को पीछे छोड़ देश में प्यार करते थे,"" यह उद्धरण बताता है कि लेखक द्वारा बनाया गया मूड पाठक महसूस करते हैं कि उनके बच्चे अपने जीवन को बेहतर जीवन और शिक्षा देने के लिए कितना कठिन परिश्रम करते हैं। ""यह यहां था जहां मैंने"" परिवार ""की वास्तविक परिभाषा सीखी,"" इससे पाठक को यह भी महसूस होता है कि एक परिवार के लिए और भी बहुत कुछ है फिर यह @महीना1 लगता है। वह परिवार एक जीवन देता है और प्यार सिखाता है। ""मैं यह कभी नहीं भूलूंगा कि मेरे माता-पिता ने इस साधारण घर को घर में कैसे बदल दिया,"" यह उद्धरण बताता है कि घर सिर्फ एक जगह नहीं है जहां एक @महीना1 रहते हैं, लेकिन यह उन रिश्तों के बारे में है जो वहां बनाए जाते हैं। ये संस्मरण में लेखक द्वारा बनाए गए कुछ मूड थे।",3,3,6
19,5,"इस लेखक द्वारा बनाई गई मनोदशा स्पष्ट रूप से महान है। लेखक दिखाता है कि वह (नार्सिसो) आपको धन्यवाद कहने से कभी नहीं रोक सकता। वह ईमानदारी से अपनी माँ और पिताजी के साथ की गई भावना को प्यार करता था, और सभी चोर उसके लिए करते थे। माता-पिता ने नार्सिसो के लिए घर बुलाने की जगह पर जाकर जो किया, उससे उनका मूड हमेशा के लिए शानदार बन गया। नार्सिसो के मूड के महान होने से मेरा मतलब है कि वह अपने माता-पिता का धन्यवाद करने के लिए सभी का आभारी है। इस लघु आत्मकथा में, नार्सिसो पाठक को महसूस करने के लिए तैयार करता है, और जानता है कि वह उस जीवन से खुश है जो उसके पास है। जैसा कि यह लघु कहानी महान होने के मूड को बनाती है। आप समझते हैं कि वह कैसा महसूस करता है जैसा कि आप इस लेख के माध्यम से कई बार पढ़ते हैं, ""मैं अपने माता-पिता के लिए हमेशा महान रहूंगा ...""",1,2,3
20,5,"संस्मरण में लेखक द्वारा निर्धारित मनोदशा एक घर है, जो एक महान परिवार, महान मित्रता / रिश्ते और खुले हथियार की तरह की भावना है। उन्होंने इस तथ्य का उल्लेख किया कि उनके माता-पिता ने हमेशा दोस्तों और परिवार की ज़रूरत में मदद की और वे अन्य लोगों के प्रति कितने निस्वार्थ थे। वह इस बारे में बात करता है कि कैसे वह और उसका परिवार एक साथ आते थे और एक परिवार के रूप में भोजन करते थे। वह कहते हैं कि वह छोटी उम्र में अपने माता-पिता द्वारा उन्हें दी गई उदारता की भावना के लिए आभारी हैं। वह पाठक को आराम और उदारता की भावना देता है और वह अपने परिवार को लोगों के प्रति भावना, उदारता और निस्वार्थ भाव व्यक्त करने के लिए गहराई से धन्यवाद देता है।",2,2,4
21,5,"संस्मरण में लेखक द्वारा बनाया गया मिजाज कृतज्ञ, हर्षित और प्रेमपूर्ण है। मनोदशा आभारी है क्योंकि लेखक के माता-पिता ऐसे अद्भुत लोग थे, जिसने लेखक को उनके ऊपर गौर किया। लेखक यहां तक ​​कहता है, ""मैं अपने प्यार और त्याग के लिए अपने माता-पिता का हमेशा आभारी रहूंगा। मनोदशा भी खुशी की है, क्योंकि लेखक सिर्फ एक साधारण घर में रहता था, अंदर, हमेशा संगीत था और वह अपनी संस्कृति से प्रभावित था। । ""जुनून संगीत (जिसे मैं आज तक मानता हूं) ने हवा को भर दिया, रसोई की सुगंध के साथ मिश्रण।"" आखिरकार एक घर केवल एक ""घर"" है यदि आप स्वागत और प्यार महसूस करते हैं, और यह वास्तव में लेखक है महसूस किया। अंत में, मूड प्यार कर रहा है क्योंकि उसके घर में, उसके माता-पिता ने किसी ऐसे व्यक्ति का स्वागत किया था जिसे मदद की ज़रूरत थी। उदाहरण से संस्मरण है, ""मेरे माता-पिता ने अपनी बाहों और अपने दरवाजे को कई लोगों के लिए खुला रखा जिन्हें हम परिवार मानते हैं, यह जानते हुए कि वे क्या करेंगे।"" हमारे लिए भी ऐसा ही है। '' लेखक ने पूरी तरह से मूड को जीवंत और निश्चित रूप से खुश रखा, हालांकि खुशी अलग समय जैसे मुश्किल दौर से गुजरी।",4,3,7
22,5,"संस्मरण में, लेखक ने बहुत उत्साहित करने वाला मूड बनाया। वह स्पष्ट रूप से अपने परिवार के लिए बहुत आभारी है, और एक खुशहाल बचपन था। उन्होंने अपने घर के हिस्सों और स्थिति को इंगित किया जो बड़े होने के दौरान उनके लिए नकारात्मक हो सकते थे, लेकिन फिर उन्होंने प्रत्येक स्थिति के सकारात्मक पहलुओं को ध्यान में रखते हुए उन नकारात्मक चीजों को रद्द कर दिया। उदाहरण के लिए, संस्मरण में उन्होंने लिखा है कि उनका परिवार संयुक्त राज्य अमेरिका में कैसे बस गया था, और क्यूबा में उनकी अच्छी नौकरियां कैसे थीं, लेकिन फिर उन्हें यहां मिलने के बाद कम भुगतान वाली नौकरियों के साथ शुरुआत करनी पड़ी। उन्होंने कहा कि यह उनके लिए कठिन था, लेकिन उन्होंने स्थिति को देखने का एक सकारात्मक तरीका पाया। उन्होंने यह लिखकर किया कि उनके माता-पिता की स्थिति ने उन्हें और उन्हें हमेशा कड़ी मेहनत करने की शिक्षा दी और कभी हार नहीं मानी। तो कुल मिलाकर, उन्होंने वह बनाया जो एक निराशाजनक कहानी हो सकती है, एक उत्साहित और खुशहाल मोड हो सकती है। यहां तक कि उन्होंने कहानी को आपको कड़ी मेहनत और परिवार के महत्व और दूसरों को देने के बारे में एक सबक भी सिखाया।",2,3,5
23,5,"संस्मरण के लेखक द्वारा निर्मित मनोदशा मधुर और पारिवारिक है। शुरुआत से ही, लेखक भौतिक स्थान की तुलना में घर को जीवन के तरीके के रूप में वर्णित करता है। लेखक के ""माता-पिता ने हमारे पारंपरिक क्यूबा घर का निर्माण किया, जिसका हिस्सा रसोई था"" (@संख्या1)। यहां, घर को परिवार के एक हिस्से के रूप में और भी अधिक वर्णित किया गया है, एक इमारत कम है। परिवार की भावना को बढ़ाने के लिए, लेखक में आतिथ्य की कहानियाँ शामिल हैं: ""मेरे माता-पिता ने हमेशा अपने हथियार और अपने दरवाजे को कई लोगों के लिए रखा जिन्हें वह परिवार मानते थे"" (@संख्या2)। आतिथ्य सबसे अच्छे गुणों में से एक है जिसे आपको घर बनाने के लिए आवश्यक है और लेखक वास्तव में इसे बढ़ाता है। संस्मरण के लेखक द्वारा निर्मित मनोदशा मधुर और पारिवारिक है।",2,2,4
24,5,"लेखक, नार्सिसो रोड्रिगेज, अपने संस्मरण में एक बहुत खुश मिजाज बनाता है। सेटिंग की वजह से मूड खुश है। नार्सीसो अपने घर का वर्णन करता है और कहता है, ""यहाँ, बचपन की मासूमियत, परिवार और दोस्तों की मण्डली और दोनों को शामिल करने वाले अंतहीन समारोहों ने हमारे गर्म घर में जीवन के लिए बैक-ड्रॉप का गठन किया।"" लेखक कई अच्छे दोस्तों और अच्छी यादों से भरे घर का वर्णन करता है। एक कारण यह है कि लेखक कितना आभारी है। इसमें कहा गया है, ""वे निःस्वार्थ भाव से आए, जैसा कि कई अप्रवासी करते हैं, अपने बच्चों को बेहतर जीवन देने के लिए, भले ही इसका मतलब था कि वे अपने परिवार, दोस्तों और करियर को पीछे छोड़ते हैं, जिस देश में वे प्यार करते थे।"" जबकि उन्हें अपने बच्चों के लिए और एक नए जीवन के लिए यह सब कुछ छोड़ना पड़ा। लेखक खुश है कि उन्होंने किया। इसके अलावा, लेखक उसे एक परिवार देने के साथ घर का श्रेय देता है। @नाम1 कहते हैं, ""यह यहाँ था कि मैंने 'परिवार' शब्द की वास्तविक परिभाषा सीखी।"" और इसके लिए मैं हमेशा आभारी रहूंगा। ” @नाम1 ने इस घर में बहुत कुछ सीखा और उसके लिए बहुत खुश हैं। नार्सिसो रोड्रिगेज के संस्मरण में @नाम1 बहुत खुश मिजाज बनाता है।",4,4,8
25,5,"इस संस्मरण के आधार पर, लेखक द्वारा बनाई गई मनोदशा यह एक महान मनोदशा है। इस लेख में @व्यक्ति1 नाम के एक युवक के बारे में बात की गई है और उसका जीवन तब से और अब तक कैसा था। उदाहरण के लिए, अनुच्छेद @संख्या1 पर, वह हमेशा अपने माता-पिता के प्रति उनके प्यार और बलिदान के लिए आभारी रहेंगे। और कैसे उन्होंने हमेशा उन्हें बताया कि उन्होंने जो किया वह बहुत अधिक साहसी काम था जो मैं कभी भी कर सकता था। इसके अलावा, क्यूबाई संगीत कितना भावुक था, इतना प्यार करता था, और कैसे उसके माता-पिता ने एक साधारण घर को एक घर में बदल दिया। इसलिए, यह लेखक द्वारा बनाया गया मूड है।",2,2,4
26,5,"नार्सिसो रोड्रिगेज द्वारा बनाया गया मूड खुश और आभारी था। उनके माता-पिता ने उन्हें अपने क्यूबा के पीछे के मैदान के बारे में कई बातें सिखाईं, जैसे कि खाना पकाना और संगीत। उनके माता-पिता ने नार्सिसो को आराम देने और घर पर बनाने के लिए कई चीजें दीं। ""मैं अपने प्यार और त्याग के लिए हमेशा अपने माता-पिता का आभारी रहूंगा।"" उनके माता-पिता ने उनके घर को अन्य लोगों के लिए एक घर में बदल दिया। ""मेरे माता-पिता ने हमेशा हमारे परिवार को माना जाने वाले कई लोगों के लिए अपने हथियार और दरवाजे खुले रखे।"" नार्सिसो के माता-पिता किसी को भी ले लेंगे, जब तक उन्हें अपने पैरों पर वापस आने तक रहने की जगह की आवश्यकता नहीं होती। नार्सिसो के माता-पिता समुदाय के लिए बहुत प्यार करते थे और घर पर उस जगह को बनाने में जितना संभव हो सके उतना मदद करते थे।",2,2,4
27,5,"संस्मरण में नार्सिसो रोड्रिग्ज लेखक एक गंभीर, खुश और धन्यवाद मूड बनाता है। लेखक उस बिंदु के प्रति गंभीर था जहां उसके परिवार को आर्थिक और व्यक्तिगत समस्याओं से गुजरना पड़ता था। हालांकि, लेखक खुश था कि कैसे वे विभिन्न देशों के अन्य आप्रवासी के साथ एक दोस्ताना और एकीकृत पड़ोस में रहते थे। लेखक ने धन्यवाद दिखाया क्योंकि उसके माता-पिता ने उसे नया जीवन देने के लिए बहुत मेहनत की। संस्मरण ने एक अच्छे मूड के साथ-साथ एथलीट बचपन के सटीक चित्र को दिखाया।",2,2,4
28,5,"@व्यक्ति1 का मूड खुश और महान था। @व्यक्ति1 आभारी था क्योंकि उसका परिवार एक साथ था और उसके माँ और पिताजी संस्कृति के साथ खुले घर थे। वह खुश था क्योंकि उसका जीवन बेहतर था, अगर वह क्यूबा में रहता तो यह होता। वह @व्यक्ति1 का मूड था।",1,1,2
